 gmid0.5         idw0.5         
 2.33434578e+00  3.99386869e+01 
 2.30261140e+00  4.08754535e+01 
 2.27148509e+00  4.18210460e+01 
 2.24094947e+00  4.27753240e+01 
 2.21098792e+00  4.37381452e+01 
 2.18158448e+00  4.47093661e+01 
 2.15272384e+00  4.56888419e+01 
 2.12439128e+00  4.66764264e+01 
 2.09657269e+00  4.76719725e+01 
 2.06925448e+00  4.86753319e+01 
 2.04242360e+00  4.96863556e+01 
 2.01606749e+00  5.07048935e+01 
 1.99017408e+00  5.17307950e+01 
 1.96473171e+00  5.27639087e+01 
 1.93972919e+00  5.38040828e+01 
 1.91515571e+00  5.48511649e+01 
 1.89100084e+00  5.59050023e+01 
 1.86725455e+00  5.69654420e+01 
 1.84390712e+00  5.80323308e+01 
 1.82094920e+00  5.91055154e+01 
 1.79837174e+00  6.01848425e+01 
 1.77616599e+00  6.12701587e+01 
 1.75432350e+00  6.23613109e+01 
 1.73283610e+00  6.34581460e+01 
 1.71169587e+00  6.45605114e+01 
 1.69089516e+00  6.56682545e+01 
 1.67042654e+00  6.67812234e+01 
 1.65028283e+00  6.78992666e+01 
 1.63045705e+00  6.90222331e+01 
 1.61094245e+00  7.01499723e+01 
 1.59173248e+00  7.12823346e+01 
 1.57282078e+00  7.24191709e+01 
 1.55420116e+00  7.35603329e+01 
 1.53586763e+00  7.47056730e+01 
 1.51781436e+00  7.58550446e+01 
 1.50003569e+00  7.70083021e+01 
 1.48252611e+00  7.81653006e+01 
 1.46528027e+00  7.93258963e+01 
 1.44829294e+00  8.04899466e+01 
 1.43155906e+00  8.16573097e+01 
 1.41507370e+00  8.28278452e+01 
 1.39883203e+00  8.40014135e+01 
 1.38282938e+00  8.51778766e+01 
 1.36706117e+00  8.63570975e+01 
 1.35152296e+00  8.75389403e+01 
 1.33621041e+00  8.87232706e+01 
 1.32111929e+00  8.99099553e+01 
 1.30624546e+00  9.10988624e+01 
 1.29158489e+00  9.22898615e+01 
 1.27713366e+00  9.34828234e+01 
 1.26288792e+00  9.46776204e+01 
 1.24884392e+00  9.58741260e+01 
 1.23499799e+00  9.70722153e+01 
 1.22134657e+00  9.82717649e+01 
 1.20788615e+00  9.94726525e+01 
 1.19461332e+00  1.00674758e+02 
 1.18152473e+00  1.01877961e+02 
 1.16861711e+00  1.03082145e+02 
 1.15588727e+00  1.04287194e+02 
 1.14333209e+00  1.05492992e+02 
 1.13094851e+00  1.06699427e+02 
 1.11873353e+00  1.07906386e+02 
 1.10668423e+00  1.09113760e+02 
 1.09479774e+00  1.10321440e+02 
 1.08307126e+00  1.11529318e+02 
 1.07150204e+00  1.12737289e+02 
 1.06008739e+00  1.13945248e+02 
 1.04882467e+00  1.15153093e+02 
 1.03771131e+00  1.16360723e+02 
 1.02674477e+00  1.17568037e+02 
 1.01592259e+00  1.18774938e+02 
 1.00524234e+00  1.19981328e+02 
 9.94701634e-01  1.21187112e+02 
 9.84298149e-01  1.22392197e+02 
 9.74029599e-01  1.23596490e+02 
 9.63893746e-01  1.24799900e+02 
 9.53888395e-01  1.26002337e+02 
 9.44011396e-01  1.27203714e+02 
 9.34260639e-01  1.28403944e+02 
 9.24634055e-01  1.29602941e+02 
 9.15129616e-01  1.30800622e+02 
 9.05745331e-01  1.31996904e+02 
 8.96479251e-01  1.33191707e+02 
 8.87329461e-01  1.34384950e+02 
 8.78294083e-01  1.35576555e+02 
 8.69371275e-01  1.36766446e+02 
 8.60559230e-01  1.37954547e+02 
 8.51856175e-01  1.39140783e+02 
 8.43260371e-01  1.40325081e+02 
 8.34770109e-01  1.41507371e+02 
 8.26383716e-01  1.42687581e+02 
 8.18099545e-01  1.43865642e+02 
 8.09915984e-01  1.45041486e+02 
 8.01831449e-01  1.46215048e+02 
 7.93844386e-01  1.47386261e+02 
 7.85953267e-01  1.48555062e+02 
 7.78156596e-01  1.49721387e+02 
 7.70452902e-01  1.50885175e+02 
 7.62840740e-01  1.52046366e+02 
 7.55318693e-01  1.53204899e+02 
 7.47885371e-01  1.54360717e+02 
 7.40539406e-01  1.55513763e+02 
 7.33279456e-01  1.56663980e+02 
 7.26104204e-01  1.57811314e+02 
 7.19012356e-01  1.58955711e+02 
 7.12002642e-01  1.60097119e+02 
 7.05073814e-01  1.61235486e+02 
 6.98224646e-01  1.62370761e+02 
 6.91453934e-01  1.63502895e+02 
 6.84760497e-01  1.64631839e+02 
 6.78143174e-01  1.65757547e+02 
 6.71600823e-01  1.66879971e+02 
 6.65132325e-01  1.67999066e+02 
 6.58736578e-01  1.69114788e+02 
 6.52412502e-01  1.70227094e+02 
 6.46159035e-01  1.71335940e+02 
 6.39975134e-01  1.72441286e+02 
 6.33859772e-01  1.73543089e+02 
 6.27811943e-01  1.74641312e+02 
 6.21830658e-01  1.75735915e+02 
 6.15914943e-01  1.76826859e+02 
 6.10063844e-01  1.77914109e+02 
 6.04276421e-01  1.78997627e+02 
 5.98551753e-01  1.80077378e+02 
 5.92888932e-01  1.81153328e+02 
 5.87287068e-01  1.82225443e+02 
 5.81745285e-01  1.83293690e+02 
 5.76262722e-01  1.84358037e+02 
 5.70838535e-01  1.85418453e+02 
 5.65471891e-01  1.86474907e+02 
 5.60161974e-01  1.87527369e+02 
 5.54907981e-01  1.88575811e+02 
 5.49709123e-01  1.89620205e+02 
 5.44564623e-01  1.90660521e+02 
 5.39473719e-01  1.91696735e+02 
 5.34435662e-01  1.92728820e+02 
 5.29449714e-01  1.93756750e+02 
 5.24515151e-01  1.94780501e+02 
 5.19631260e-01  1.95800049e+02 
 5.14797341e-01  1.96815370e+02 
 5.10012706e-01  1.97826442e+02 
 5.05276678e-01  1.98833243e+02 
 5.00588590e-01  1.99835751e+02 
 4.95947788e-01  2.00833946e+02 
 4.91353629e-01  2.01827807e+02 
 4.86805480e-01  2.02817316e+02 
 4.82302719e-01  2.03802453e+02 
 4.77844732e-01  2.04783199e+02 
 4.73430919e-01  2.05759538e+02 
 4.69060688e-01  2.06731452e+02 
 4.64733456e-01  2.07698925e+02 
 4.60448650e-01  2.08661940e+02 
 4.56205707e-01  2.09620482e+02 
 gmid1.5         idw1.5         
 2.50370802e+01  7.60783911e-09 
 2.54220921e+01  9.79171573e-09 
 2.57401482e+01  1.26467222e-08 
 2.60039860e+01  1.63816065e-08 
 2.62243200e+01  2.12707519e-08 
 2.64099818e+01  2.76750190e-08 
 2.65681424e+01  3.60692644e-08 
