 gmid0.5         ft0.5          
 2.88213268e+01  1.33773453e+07 
 2.87610940e+01  1.76204466e+07 
 2.86688369e+01  2.30750355e+07 
 2.85354108e+01  2.99994416e+07 
 2.83498156e+01  3.86580657e+07 
 2.80994343e+01  4.92971839e+07 
 2.77707711e+01  6.21166495e+07 
 2.73508531e+01  7.72444555e+07 
 2.68292913e+01  9.47224967e+07 
 2.62006838e+01  1.14509150e+08 
 2.54666927e+01  1.36498018e+08 
 2.46369993e+01  1.60545935e+08 
 2.37286218e+01  1.86500903e+08 
 2.27637053e+01  2.14222914e+08 
 2.17664790e+01  2.43595055e+08 
 2.07602904e+01  2.74526123e+08 
 1.97654074e+01  3.06947738e+08 
 1.87978493e+01  3.40808939e+08 
 1.78691420e+01  3.76070407e+08 
 1.69867038e+01  4.12699513e+08 
 1.61545539e+01  4.50666598e+08 
 1.53741059e+01  4.89942485e+08 
 1.46449045e+01  5.30497000e+08 
 1.39652411e+01  5.72298221e+08 
 1.33326302e+01  6.15312223e+08 
 1.27441602e+01  6.59503123e+08 
 1.21967397e+01  7.04833285e+08 
 1.16872628e+01  7.51263606e+08 
 1.12127148e+01  7.98753817e+08 
 1.07702351e+01  8.47262774e+08 
 1.03571520e+01  8.96748727e+08 
 9.97099605e+00  9.47169547e+08 
 9.60950251e+00  9.98482920e+08 
 9.27060474e+00  1.05064651e+09 
 8.95242349e+00  1.10361811e+09 
 8.65325369e+00  1.15735569e+09 
 8.37155029e+00  1.21181756e+09 
 8.10591402e+00  1.26696237e+09 
 7.85507770e+00  1.32274917e+09 
 7.61789334e+00  1.37913750e+09 
 7.39332023e+00  1.43608731e+09 
 7.18041404e+00  1.49355909e+09 
 6.97831699e+00  1.55151379e+09 
 6.78624894e+00  1.60991289e+09 
 6.60349945e+00  1.66871837e+09 
 6.42942069e+00  1.72789270e+09 
 6.26342103e+00  1.78739885e+09 
 6.10495945e+00  1.84720032e+09 
 5.95354044e+00  1.90726107e+09 
 5.80870956e+00  1.96754556e+09 
 5.67004940e+00  2.02801873e+09 
 5.53717604e+00  2.08864600e+09 
 5.40973584e+00  2.14939326e+09 
 5.28740263e+00  2.21022689e+09 
 5.16987516e+00  2.27111373e+09 
 5.05687481e+00  2.33202108e+09 
 4.94814360e+00  2.39291672e+09 
 4.84344230e+00  2.45376891e+09 
 4.74254884e+00  2.51454638e+09 
 4.64525683e+00  2.57521831e+09 
 4.55137422e+00  2.63575442e+09 
 4.46072209e+00  2.69612487e+09 
 4.37313360e+00  2.75630033e+09 
 4.28845299e+00  2.81625199e+09 
 4.20653470e+00  2.87595154e+09 
 4.12724257e+00  2.93537119e+09 
 4.05044911e+00  2.99448368e+09 
 3.97603482e+00  3.05326232e+09 
 3.90388764e+00  3.11168095e+09 
 3.83390232e+00  3.16971398e+09 
 3.76597998e+00  3.22733640e+09 
 3.70002763e+00  3.28452381e+09 
 3.63595774e+00  3.34125240e+09 
 3.57368789e+00  3.39749897e+09 
 3.51314036e+00  3.45324097e+09 
 3.45424185e+00  3.50845647e+09 
 3.39692317e+00  3.56312419e+09 
 3.34111898e+00  3.61722355e+09 
 3.28676749e+00  3.67073461e+09 
 3.23381028e+00  3.72363812e+09 
 3.18219204e+00  3.77591553e+09 
 3.13186041e+00  3.82754900e+09 
 3.08276576e+00  3.87852138e+09 
 3.03486106e+00  3.92881627e+09 
 2.98810165e+00  3.97841795e+09 
 2.94244519e+00  4.02731147e+09 
 2.89785142e+00  4.07548258e+09 
 2.85428212e+00  4.12291779e+09 
 2.81170093e+00  4.16960433e+09 
 2.77007327e+00  4.21553017e+09 
 2.72936623e+00  4.26068401e+09 
 2.68954847e+00  4.30505532e+09 
 2.65059013e+00  4.34863425e+09 
 2.61246275e+00  4.39141172e+09 
 2.57513919e+00  4.43337934e+09 
 2.53859354e+00  4.47452948e+09 
 2.50280108e+00  4.51485518e+09 
 2.46773821e+00  4.55435021e+09 
 2.43338234e+00  4.59300901e+09 
 2.39971193e+00  4.63082672e+09 
 2.36670632e+00  4.66779916e+09 
 2.33434578e+00  4.70392278e+09 
 2.30261140e+00  4.73919472e+09 
 2.27148509e+00  4.77361271e+09 
 2.24094947e+00  4.80717515e+09 
 2.21098792e+00  4.83988101e+09 
 2.18158448e+00  4.87172987e+09 
 2.15272384e+00  4.90272189e+09 
 2.12439128e+00  4.93285776e+09 
 2.09657269e+00  4.96213876e+09 
 2.06925448e+00  4.99056666e+09 
 2.04242360e+00  5.01814375e+09 
 2.01606749e+00  5.04487283e+09 
 1.99017408e+00  5.07075715e+09 
 1.96473171e+00  5.09580043e+09 
 1.93972919e+00  5.12000683e+09 
 1.91515571e+00  5.14338092e+09 
 1.89100084e+00  5.16592768e+09 
 1.86725455e+00  5.18765248e+09 
 1.84390712e+00  5.20856105e+09 
 1.82094920e+00  5.22865947e+09 
 1.79837174e+00  5.24795415e+09 
 1.77616599e+00  5.26645182e+09 
 1.75432350e+00  5.28415950e+09 
 1.73283610e+00  5.30108449e+09 
 1.71169587e+00  5.31723436e+09 
 1.69089516e+00  5.33261691e+09 
 1.67042654e+00  5.34724019e+09 
 1.65028283e+00  5.36111244e+09 
 1.63045705e+00  5.37424212e+09 
 1.61094245e+00  5.38663786e+09 
 1.59173248e+00  5.39830846e+09 
 1.57282078e+00  5.40926288e+09 
 1.55420116e+00  5.41951021e+09 
 1.53586763e+00  5.42905967e+09 
 1.51781436e+00  5.43792060e+09 
 1.50003569e+00  5.44610242e+09 
 1.48252611e+00  5.45361465e+09 
 1.46528027e+00  5.46046690e+09 
 1.44829294e+00  5.46666881e+09 
 1.43155906e+00  5.47223010e+09 
 1.41507370e+00  5.47716052e+09 
 1.39883203e+00  5.48146986e+09 
 1.38282938e+00  5.48516792e+09 
 1.36706117e+00  5.48826452e+09 
 1.35152296e+00  5.49076949e+09 
 1.33621041e+00  5.49269265e+09 
 1.32111929e+00  5.49404379e+09 
 1.30624546e+00  5.49483270e+09 
 1.29158489e+00  5.49506915e+09 
 1.27713366e+00  5.49476284e+09 
 1.26288792e+00  5.49392347e+09 
 1.24884392e+00  5.49256066e+09 
 1.23499799e+00  5.49068400e+09 
 1.22134657e+00  5.48830299e+09 
 1.20788615e+00  5.48542711e+09 
