 gmid0.5         gain0.5        
 1.91515571e+00  1.90589079e+01 
 1.89100084e+00  1.84433195e+01 
 1.86725455e+00  1.78493459e+01 
 1.84390712e+00  1.72763626e+01 
 1.82094920e+00  1.67237412e+01 
 1.79837174e+00  1.61908533e+01 
 1.77616599e+00  1.56770723e+01 
 1.75432350e+00  1.51817765e+01 
 1.73283610e+00  1.47043507e+01 
 1.71169587e+00  1.42441882e+01 
 1.69089516e+00  1.38006921e+01 
 1.67042654e+00  1.33732768e+01 
 1.65028283e+00  1.29613691e+01 
 1.63045705e+00  1.25644089e+01 
 1.61094245e+00  1.21818499e+01 
 1.59173248e+00  1.18131605e+01 
 1.57282078e+00  1.14578237e+01 
 1.55420116e+00  1.11153379e+01 
 1.53586763e+00  1.07852166e+01 
 1.51781436e+00  1.04669888e+01 
 1.50003569e+00  1.01601990e+01 
 1.48252611e+00  9.86440682e+00 
 1.46528027e+00  9.57918728e+00 
 1.44829294e+00  9.30413029e+00 
 1.43155906e+00  9.03884055e+00 
 1.41507370e+00  8.78293724e+00 
 1.39883203e+00  8.53605373e+00 
 1.38282938e+00  8.29783722e+00 
 1.36706117e+00  8.06794843e+00 
 1.35152296e+00  7.84606119e+00 
 1.33621041e+00  7.63186207e+00 
 1.32111929e+00  7.42505001e+00 
 1.30624546e+00  7.22533592e+00 
 1.29158489e+00  7.03244229e+00 
 1.27713366e+00  6.84610275e+00 
 1.26288792e+00  6.66606177e+00 
 1.24884392e+00  6.49207418e+00 
 1.23499799e+00  6.32390485e+00 
 1.22134657e+00  6.16132828e+00 
 1.20788615e+00  6.00412824e+00 
 1.19461332e+00  5.85209742e+00 
 1.18152473e+00  5.70503708e+00 
 1.16861711e+00  5.56275668e+00 
 1.15588727e+00  5.42507358e+00 
 1.14333209e+00  5.29181271e+00 
 1.13094851e+00  5.16280626e+00 
 1.11873353e+00  5.03789337e+00 
 1.10668423e+00  4.91691985e+00 
 1.09479774e+00  4.79973787e+00 
 1.08307126e+00  4.68620577e+00 
 1.07150204e+00  4.57618769e+00 
 1.06008739e+00  4.46955342e+00 
 1.04882467e+00  4.36617809e+00 
 1.03771131e+00  4.26594197e+00 
 1.02674477e+00  4.16873026e+00 
 1.01592259e+00  4.07443286e+00 
 1.00524234e+00  3.98294415e+00 
 9.94701634e-01  3.89416285e+00 
 9.84298149e-01  3.80799177e+00 
 9.74029599e-01  3.72433768e+00 
 9.63893746e-01  3.64311110e+00 
 9.53888395e-01  3.56422619e+00 
 9.44011396e-01  3.48760053e+00 
 9.34260639e-01  3.41315501e+00 
 9.24634055e-01  3.34081368e+00 
 9.15129616e-01  3.27050361e+00 
 9.05745331e-01  3.20215477e+00 
 8.96479251e-01  3.13569989e+00 
 8.87329461e-01  3.07107434e+00 
 8.78294083e-01  3.00821604e+00 
 8.69371275e-01  2.94706531e+00 
 8.60559230e-01  2.88756481e+00 
 8.51856175e-01  2.82965943e+00 
 8.43260371e-01  2.77329617e+00 
 8.34770109e-01  2.71842406e+00 
 8.26383716e-01  2.66499410e+00 
 8.18099545e-01  2.61295915e+00 
 8.09915984e-01  2.56227386e+00 
 8.01831449e-01  2.51289458e+00 
 7.93844386e-01  2.46477933e+00 
