 vgt0.5          gmid0.5        
 5.72952221e-01  3.63595774e+00 
 5.82892722e-01  3.57368789e+00 
 5.92833223e-01  3.51314036e+00 
 6.02773723e-01  3.45424185e+00 
 6.12714223e-01  3.39692317e+00 
 6.22654722e-01  3.34111898e+00 
 6.32595221e-01  3.28676749e+00 
 6.42535720e-01  3.23381028e+00 
 6.52476220e-01  3.18219204e+00 
 6.62416719e-01  3.13186041e+00 
 6.72357220e-01  3.08276576e+00 
 6.82297720e-01  3.03486106e+00 
 6.92238222e-01  2.98810165e+00 
 7.02178725e-01  2.94244519e+00 
 7.12119228e-01  2.89785142e+00 
 7.22059733e-01  2.85428212e+00 
 7.32000240e-01  2.81170093e+00 
 7.41940747e-01  2.77007327e+00 
 7.51881257e-01  2.72936623e+00 
 7.61821768e-01  2.68954847e+00 
 7.71762281e-01  2.65059013e+00 
 7.81702796e-01  2.61246275e+00 
 7.91643313e-01  2.57513919e+00 
 8.01583832e-01  2.53859354e+00 
 8.11524354e-01  2.50280108e+00 
 8.21464877e-01  2.46773821e+00 
 8.31405404e-01  2.43338234e+00 
 8.41345933e-01  2.39971193e+00 
 8.51286464e-01  2.36670632e+00 
 8.61226999e-01  2.33434578e+00 
 8.71167536e-01  2.30261140e+00 
 8.81108076e-01  2.27148509e+00 
 8.91048619e-01  2.24094947e+00 
 9.00989166e-01  2.21098792e+00 
 9.10929715e-01  2.18158448e+00 
 9.20870268e-01  2.15272384e+00 
 9.30810824e-01  2.12439128e+00 
 9.40751384e-01  2.09657269e+00 
 9.50691947e-01  2.06925448e+00 
 9.60632513e-01  2.04242360e+00 
 9.70573083e-01  2.01606749e+00 
 9.80513657e-01  1.99017408e+00 
 9.90454235e-01  1.96473171e+00 
 1.00039482e+00  1.93972919e+00 
 1.01033540e+00  1.91515571e+00 
 1.02027599e+00  1.89100084e+00 
 1.03021658e+00  1.86725455e+00 
 1.04015718e+00  1.84390712e+00 
 1.05009778e+00  1.82094920e+00 
 1.06003839e+00  1.79837174e+00 
 1.06997900e+00  1.77616599e+00 
 1.07991961e+00  1.75432350e+00 
 1.08986023e+00  1.73283610e+00 
 1.09980085e+00  1.71169587e+00 
 1.10974148e+00  1.69089516e+00 
 1.11968211e+00  1.67042654e+00 
 1.12962275e+00  1.65028283e+00 
 1.13956339e+00  1.63045705e+00 
 1.14950403e+00  1.61094245e+00 
 1.15944468e+00  1.59173248e+00 
 1.16938534e+00  1.57282078e+00 
 1.17932600e+00  1.55420116e+00 
 1.18926666e+00  1.53586763e+00 
 1.19920733e+00  1.51781436e+00 
 1.20914801e+00  1.50003569e+00 
 1.21908868e+00  1.48252611e+00 
 1.22902937e+00  1.46528027e+00 
 1.23897006e+00  1.44829294e+00 
 1.24891075e+00  1.43155906e+00 
 1.25885145e+00  1.41507370e+00 
 1.26879215e+00  1.39883203e+00 
 1.27873286e+00  1.38282938e+00 
 1.28867357e+00  1.36706117e+00 
 1.29861429e+00  1.35152296e+00 
 1.30855502e+00  1.33621041e+00 
 1.31849575e+00  1.32111929e+00 
 1.32843648e+00  1.30624546e+00 
 1.33837722e+00  1.29158489e+00 
 1.34831796e+00  1.27713366e+00 
 1.35825871e+00  1.26288792e+00 
 1.36819947e+00  1.24884392e+00 
 1.37814023e+00  1.23499799e+00 
 1.38808100e+00  1.22134657e+00 
 1.39802177e+00  1.20788615e+00 
 1.40796255e+00  1.19461332e+00 
 1.41790333e+00  1.18152473e+00 
 1.42784412e+00  1.16861711e+00 
 1.43778491e+00  1.15588727e+00 
 1.44772571e+00  1.14333209e+00 
 1.45766651e+00  1.13094851e+00 
 1.46760733e+00  1.11873353e+00 
 1.47754814e+00  1.10668423e+00 
 1.48748896e+00  1.09479774e+00 
 1.49742979e+00  1.08307126e+00 
 1.50737062e+00  1.07150204e+00 
 1.51731146e+00  1.06008739e+00 
 1.52725231e+00  1.04882467e+00 
 1.53719316e+00  1.03771131e+00 
 1.54713401e+00  1.02674477e+00 
 1.55707487e+00  1.01592259e+00 
 1.56701574e+00  1.00524234e+00 
 1.57695661e+00  9.94701634e-01 
 1.58689749e+00  9.84298149e-01 
 1.59683838e+00  9.74029599e-01 
 1.60677927e+00  9.63893746e-01 
 1.61672016e+00  9.53888395e-01 
 1.62666106e+00  9.44011396e-01 
 1.63660197e+00  9.34260639e-01 
 1.64654289e+00  9.24634055e-01 
 1.65648381e+00  9.15129616e-01 
 1.66642473e+00  9.05745331e-01 
 1.67636566e+00  8.96479251e-01 
